nom,bucket,tier,score_total,valeur_apportee,proba_acceptation,adresse,cp,ville,telephone,site_url,cuisine,note_google,nb_avis,lighthouse_perf,lighthouse_seo,lighthouse_a11y,lighthouse_bp,lcp_s,cls,age_site_annees,gmb_completude,repond_avis,instagram_actif,mode_degrade,donnees_partielles,drapeau_rouge,mike_override,notes_mike
My kitchen,pas-de-site,A,84,82,86,,,Chartres,+33951476324,,turkish,4.8,334,,,,,,,,65,non mesuré,non détecté,non,non,aucun,,
Crêperie La Poële Percée,pas-de-site,A,82,81,83,7 Rue de la Poële Percée,28000,Chartres,+33237216070,,crepe,4.7,99,,,,,,,,65,non mesuré,non détecté,non,non,aucun,,
Big.B,pas-de-site,A,80,80,80,5 Place du Général de Gaulle,28000,Chartres,+33633888500,,burger,4.5,420,,,,,,,,65,non mesuré,non détecté,non,non,aucun,,
L'Ami Temps,pas-de-site,A,80,83,77,,,Chartres,,,,4.9,195,,,,,,,,65,non mesuré,non détecté,non,non,aucun,,
Yog & Eat,pas-de-site,A,80,83,76,,,Chartres,,,,4.6,561,,,,,,,,65,non mesuré,non détecté,non,non,aucun,,
Saint Michel,pas-de-site,A,80,83,77,,,Chartres,,,,5,162,,,,,,,,65,non mesuré,non détecté,non,non,aucun,,
Aux Comptoirs,pas-de-site,A,79,83,75,,,Chartres,,,seafood,4.6,228,,,,,,,,45,non mesuré,non détecté,non,non,aucun,,
Café Marceau,pas-de-site,A,79,83,74,,,Chartres,,,,4.8,72,,,,,,,,65,non mesuré,non détecté,non,non,aucun,,
Chez Tonton,pas-de-site,A,79,82,74,,,Chartres,,,chicken sandwich,5,60,,,,,,,,65,non mesuré,non détecté,non,non,aucun,,
Le BarDePoch',pas-de-site,A,79,81,76,,,Chartres,,,,4.7,412,,,,,,,,65,non mesuré,non détecté,non,non,aucun,,
Le Comptoir De Sarah,pas-de-site,A,79,81,76,,,Chartres,,,,4.7,414,,,,,,,,65,non mesuré,non détecté,non,non,aucun,,
Mésopotamie,pas-de-site,A,79,81,76,,,Chartres,,,kebab,4.7,360,,,,,,,,65,non mesuré,non détecté,non,non,aucun,,
L'Académie de la Bière,pas-de-site,A,78,78,78,8 Rue du Cheval Blanc,28000,Chartres,+33237369007,,,4.5,394,,,,,,,,45,non mesuré,non détecté,non,non,aucun,,
Chat caféiné,pas-de-site,A,78,82,73,,,Chartres,,,coffee_shop,4.9,50,,,,,,,,65,non mesuré,non détecté,non,non,aucun,,
Boba Choc,pas-de-site,A,78,80,75,,,Chartres,,,bubble_tea,4.8,162,,,,,,,,65,non mesuré,non détecté,non,non,aucun,,
Aux Délices Chez Jade,pas-de-site,A,77,79,75,3 Rue de la Pie,28000,Chartres,+33982486215,,chinese,4.4,117,,,,,,,,65,non mesuré,non détecté,non,non,aucun,,
Le Saint-Vincent,pas-de-site,A,77,82,71,,,Chartres,,,,4.6,54,,,,,,,,15,non mesuré,non détecté,non,non,aucun,,
Les 4T,pas-de-site,A,77,80,73,,,Chartres,,,,4.9,81,,,,,,,,65,non mesuré,non détecté,non,non,aucun,,
Le XV,pas-de-site,A,77,80,73,,,Chartres,,,,4.9,81,,,,,,,,65,non mesuré,non détecté,non,non,aucun,,
Lunch'Bar,pas-de-site,A,77,80,73,,,Chartres,,,sandwich,4.9,81,,,,,,,,65,non mesuré,non détecté,non,non,aucun,,
Le 10,pas-de-site,A,77,80,73,1 Parc de l'Equerre,28630,Gellainville,,,,4.9,81,,,,,,,,65,non mesuré,non détecté,non,non,aucun,,
18CTea,pas-de-site,A,77,80,73,,,Chartres,,,bubble_tea,4.7,78,,,,,,,,65,non mesuré,non détecté,non,non,aucun,,
O'LAC,pas-de-site,A,76,82,70,,,Chartres,,,,4.4,336,,,,,,,,65,non mesuré,non détecté,non,non,aucun,,
L'Entre-potes,pas-de-site,A,76,81,69,,,Chartres,,,,4.9,10,,,,,,,,35,non mesuré,non détecté,non,non,aucun,,
Nouvel Orient,pas-de-site,A,76,81,69,,,Chartres,,,asian,4.5,67,,,,,,,,35,non mesuré,non détecté,non,non,aucun,,
L'Epsilon,pas-de-site,A,76,81,69,,,Chartres,,,,4.5,72,,,,,,,,45,non mesuré,non détecté,non,non,aucun,,
Bar Tabac au Pacha,pas-de-site,A,76,81,70,,,Chartres,,,,4.5,96,,,,,,,,35,non mesuré,non détecté,non,non,aucun,,
La Couscoussière,pas-de-site,A,76,80,72,,,Chartres,,,kebab,4.6,150,,,,,,,,65,non mesuré,non détecté,non,non,aucun,,
Lichette,pas-de-site,A,76,80,72,,,Chartres,,,french,4.7,75,,,,,,,,65,non mesuré,non détecté,non,non,aucun,,
Al-Badea,pas-de-site,A,76,80,72,9 Rue de la Porte Cendreuse,,Chartres,,,,4.6,150,,,,,,,,65,non mesuré,non détecté,non,non,aucun,,
Bob's Foodcourt,pas-de-site,A,76,79,71,13 Rue des Pierres Missigault,28630,Barjouville,,,,4.5,1851,,,,,,,,65,non mesuré,non détecté,non,non,aucun,,
Le Maunoury,pas-de-site,A,75,81,68,,,Chartres,,,,4.4,158,,,,,,,,65,non mesuré,non détecté,non,non,aucun,,
Villa Toscane,pas-de-site,A,75,79,71,,,Chartres,,,italian,4.5,282,,,,,,,,65,non mesuré,non détecté,non,non,aucun,,
French & chic,pas-de-site,A,75,79,69,,,Chartres,,,,4.5,184,,,,,,,,65,non mesuré,non détecté,non,non,aucun,,
Artipik,pas-de-site,B,74,81,67,,,Chartres,,,,4.3,255,,,,,,,,45,non mesuré,non détecté,non,non,aucun,,
O'Relais,pas-de-site,B,73,76,70,42Bis Avenue d'Orléan,28000,Chartres,+33 2 37 25 88 88,,french,4.2,1288,,,,,,,,65,non mesuré,non détecté,non,non,aucun,,
Le Papooze,pas-de-site,B,73,76,70,7 Rue Denis Poisson,,Chartres,+332 37 33 73 60,,,4.2,381,,,,,,,,65,non mesuré,non détecté,non,non,aucun,,
Festin d'Asie,pas-de-site,B,73,80,64,,,Chartres,,,chinese,4.2,2409,,,,,,,,65,non mesuré,non détecté,non,non,aucun,,
Le Saloon,pas-de-site,B,73,80,64,,,Chartres,,,,5,1,,,,,,,,35,non mesuré,non détecté,non,non,aucun,,
Brasserie de la Préfecture,pas-de-site,B,72,80,62,,,Chartres,,,coffee_shop,4.2,128,,,,,,,,45,non mesuré,non détecté,non,non,aucun,,
Le comptoir de la mairie,pas-de-site,B,72,80,63,,,Chartres,,,,4.2,200,,,,,,,,65,non mesuré,non détecté,non,non,aucun,,
La Table Du Marché,pas-de-site,B,72,80,62,,,Chartres,,,,4.1,615,,,,,,,,65,non mesuré,non détecté,non,non,aucun,,
Babylone,pas-de-site,B,72,78,65,,,Chartres,,,kebab,4.3,667,,,,,,,,65,non mesuré,non détecté,non,non,aucun,,
Pizza Berllardi,pas-de-site,B,71,79,60,,,Chartres,,,pizza,4.2,65,,,,,,,,65,non mesuré,non détecté,non,non,aucun,,
Speed Rabbit Pizza,pas-de-site,B,71,79,60,,,Chartres,,,pizza,4.2,65,,,,,,,,65,non mesuré,non détecté,non,non,aucun,,
L’Erfood,pas-de-site,B,71,79,61,29 Rue du Maréchal Leclerc,,Chartres,,,sandwich,4.2,78,,,,,,,,45,non mesuré,non détecté,non,non,aucun,,
O'Pizza Dwich,pas-de-site,B,71,78,62,,,Chartres,,,pizzeria,4.2,452,,,,,,,,65,non mesuré,non détecté,non,non,aucun,,
La Brochet' du Sud,autre-site,B,70,59,84,8 Cloître Notre-Dame,28000,Chartres,+33237223289,https://cmdlv9.wixsite.com/labrochetdusud,french,4.7,338,86,45,91,96,3.8210833007973815,0,4.4,45,non mesuré,non détecté,non,non,aucun,,
