id,nom,ville,cuisine,site_actuel,note_google,nb_avis,gmb_completude,lighthouse_mobile,age_site_ans,valeur_apportable,proba_acceptation,score_final,confidence,tier,bande_action,pourquoi_lui,statut,drapeau_rouge,date_scan,argument_qui_a_converti,raison_perte,cta_appel,cta_itineraire,cta_resa,menu_facile,photos_exploitables,instagram_actif,repond_avis,ecart_concurrentiel,angle_approche,commentaire_manuel
my-kitchen,My kitchen,Chartres,turkish,aucun,4.8,334,65,,,82,86,84,88,A,Priorité semaine,4.8/334 avis mais aucun site à lui,a_qualifier,aucun,2026-05-17,,,,,,,,,,,,
creperie-la-poele-percee,Crêperie La Poële Percée,Chartres,crepe,aucun,4.7,99,65,,,81,83,82,88,A,Priorité semaine,4.7/99 avis mais aucun site à lui,a_qualifier,aucun,2026-05-17,,,,,,,,,,,,
big-b,Big.B,Chartres,burger,aucun,4.5,420,65,,,80,80,80,88,A,Priorité semaine,4.5/420 avis mais aucun site à lui,a_qualifier,aucun,2026-05-17,,,,,,,,,,,,
l-ami-temps,L'Ami Temps,Chartres,,aucun,4.9,195,65,,,83,77,80,80,A,Priorité semaine,4.9/195 avis mais aucun site à lui,a_qualifier,aucun,2026-05-17,,,,,,,,,,,,
yog-eat,Yog & Eat,Chartres,,aucun,4.6,561,65,,,83,76,80,80,A,Priorité semaine,4.6/561 avis mais aucun site à lui,a_qualifier,aucun,2026-05-17,,,,,,,,,,,,
saint-michel,Saint Michel,Chartres,,aucun,5,162,65,,,83,77,80,80,A,Priorité semaine,5/162 avis mais aucun site à lui,a_qualifier,aucun,2026-05-17,,,,,,,,,,,,
aux-comptoirs,Aux Comptoirs,Chartres,seafood,aucun,4.6,228,45,,,83,75,79,80,A,Priorité semaine,4.6/228 avis mais aucun site à lui,a_qualifier,aucun,2026-05-17,,,,,,,,,,,,
cafe-marceau,Café Marceau,Chartres,,aucun,4.8,72,65,,,83,74,79,80,A,Priorité semaine,4.8/72 avis mais aucun site à lui,a_qualifier,aucun,2026-05-17,,,,,,,,,,,,
chez-tonton,Chez Tonton,Chartres,chicken sandwich,aucun,5,60,65,,,82,74,79,80,A,Priorité semaine,5/60 avis mais aucun site à lui,a_qualifier,aucun,2026-05-17,,,,,,,,,,,,
le-bardepoch,Le BarDePoch',Chartres,,agrégateur:facebook.com,4.7,412,65,,,81,76,79,80,A,Priorité semaine,4.7/412 avis mais juste une page facebook.com,a_qualifier,aucun,2026-05-17,,,,,,,,,,,,
le-comptoir-de-sarah,Le Comptoir De Sarah,Chartres,,agrégateur:facebook.com,4.7,414,65,,,81,76,79,80,A,Priorité mois,4.7/414 avis mais juste une page facebook.com,a_qualifier,aucun,2026-05-17,,,,,,,,,,,,
mesopotamie,Mésopotamie,Chartres,kebab,agrégateur:instagram.com,4.7,360,65,,,81,76,79,80,A,Priorité mois,4.7/360 avis mais juste une page instagram.com,a_qualifier,aucun,2026-05-17,,,,,,,,,,,,
l-academie-de-la-biere,L'Académie de la Bière,Chartres,,agrégateur:facebook.com,4.5,394,45,,,78,78,78,88,A,Priorité mois,4.5/394 avis mais juste une page facebook.com,a_qualifier,aucun,2026-05-17,,,,,,,,,,,,
chat-cafeine,Chat caféiné,Chartres,coffee_shop,aucun,4.9,50,65,,,82,73,78,80,A,Priorité mois,4.9/50 avis mais aucun site à lui,a_qualifier,aucun,2026-05-17,,,,,,,,,,,,
boba-choc,Boba Choc,Chartres,bubble_tea,agrégateur:deliveroo,4.8,162,65,,,80,75,78,80,A,Priorité mois,4.8/162 avis mais juste une page deliveroo,a_qualifier,aucun,2026-05-17,,,,,,,,,,,,
aux-delices-chez-jade,Aux Délices Chez Jade,Chartres,chinese,aucun,4.4,117,65,,,79,75,77,88,A,Priorité mois,4.4/117 avis mais aucun site à lui,a_qualifier,aucun,2026-05-17,,,,,,,,,,,,
le-saint-vincent,Le Saint-Vincent,Chartres,,aucun,4.6,54,15,,,82,71,77,80,A,Priorité mois,4.6/54 avis mais aucun site à lui,a_qualifier,aucun,2026-05-17,,,,,,,,,,,,
les-4t,Les 4T,Chartres,,agrégateur:privateaser,4.9,81,65,,,80,73,77,80,A,Priorité mois,4.9/81 avis mais juste une page privateaser,a_qualifier,aucun,2026-05-17,,,,,,,,,,,,
le-xv,Le XV,Chartres,,agrégateur:privateaser,4.9,81,65,,,80,73,77,80,A,Priorité mois,4.9/81 avis mais juste une page privateaser,a_qualifier,aucun,2026-05-17,,,,,,,,,,,,
lunch-bar,Lunch'Bar,Chartres,sandwich,agrégateur:privateaser,4.9,81,65,,,80,73,77,80,A,Priorité mois,4.9/81 avis mais juste une page privateaser,a_qualifier,aucun,2026-05-17,,,,,,,,,,,,
le-10,Le 10,Gellainville,,agrégateur:privateaser,4.9,81,65,,,80,73,77,80,A,Priorité mois,4.9/81 avis mais juste une page privateaser,a_qualifier,aucun,2026-05-17,,,,,,,,,,,,
18ctea,18CTea,Chartres,bubble_tea,agrégateur:instagram.com,4.7,78,65,,,80,73,77,80,A,Priorité mois,4.7/78 avis mais juste une page instagram.com,a_qualifier,aucun,2026-05-17,,,,,,,,,,,,
o-lac,O'LAC,Chartres,,aucun,4.4,336,65,,,82,70,76,80,A,Priorité mois,4.4/336 avis mais aucun site à lui,a_qualifier,aucun,2026-05-17,,,,,,,,,,,,
l-entre-potes,L'Entre-potes,Chartres,,aucun,4.9,10,35,,,81,69,76,80,A,Priorité mois,présence numérique en dessous de ce qu'on livre,a_qualifier,aucun,2026-05-17,,,,,,,,,,,,
nouvel-orient,Nouvel Orient,Chartres,asian,aucun,4.5,67,35,,,81,69,76,80,A,Priorité mois,4.5/67 avis mais aucun site à lui,a_qualifier,aucun,2026-05-17,,,,,,,,,,,,
l-epsilon,L'Epsilon,Chartres,,aucun,4.5,72,45,,,81,69,76,80,A,Réserve,4.5/72 avis mais aucun site à lui,a_qualifier,aucun,2026-05-17,,,,,,,,,,,,
bar-tabac-au-pacha,Bar Tabac au Pacha,Chartres,,aucun,4.5,96,35,,,81,70,76,80,A,Réserve,4.5/96 avis mais aucun site à lui,a_qualifier,aucun,2026-05-17,,,,,,,,,,,,
la-couscoussiere,La Couscoussière,Chartres,kebab,agrégateur:bento.me,4.6,150,65,,,80,72,76,80,A,Réserve,4.6/150 avis mais juste une page bento.me,a_qualifier,aucun,2026-05-17,,,,,,,,,,,,
